;QueryText;QueryNumber
0;"WHAT ARE THE EFFECTS OF CALCIUM ON THE PHYSICAL PROPERTIES OF MUCUS
   FROM CF PATIENTS? 
";00001
1;"CAN ONE DISTINGUISH BETWEEN THE EFFECTS OF MUCUS HYPERSECRETION AND
   INFECTION ON THE SUBMUCOSAL GLANDS OF THE RESPIRATORY TRACT IN CF?
";00002
2;"HOW ARE SALIVARY GLYCOPROTEINS FROM CF PATIENTS DIFFERENT FROM THOSE OF
   NORMAL SUBJECTS?
";00003
3;"WHAT IS THE LIPID COMPOSITION OF CF RESPIRATORY SECRETIONS?
";00004
4;"IS CF MUCUS ABNORMAL?
";00005
5;"WHAT IS THE EFFECT OF WATER OR OTHER THERAPEUTIC AGENTS ON THE PHYSICAL
   PROPERTIES (VISCOSITY, ELASTICITY) OF SPUTUM OR BRONCHIAL SECRETIONS
   FROM CF PATIENTS?
";00006
6;"ARE MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY IN CF PATIENTS AS COMPARED
   TO THOSE FROM NORMAL SUBJECTS?
";00007
7;"WHAT HISTOCHEMICAL DIFFERENCES HAVE BEEN DESCRIBED BETWEEN NORMAL AND
   CF RESPIRATORY EPITHELIA?
";00008
8;"WHAT IS THE ASSOCIATION BETWEEN LIVER DISEASE (CIRRHOSIS) AND VITAMIN A
   METABOLISM IN CF?
";00009
9;"WHAT IS THE ROLE OF VITAMIN E IN THE THERAPY OF PATIENTS WITH CF?
";00010
10;"WHAT IS THE DIFFERENCE BETWEEN MECONIUM ILEUS AND MECONIUM PLUG
   SYNDROME?
";00011
11;"WHAT ABNORMALITIES OF AMINO ACID TRANSPORT HAVE BEEN DESCRIBED IN THE
   SMALL BOWEL OF CF PATIENTS?
";00012
12;"WHAT ARE THE CLINICAL OR BIOCHEMICAL FEATURES OF PANCREATITIS IN CF
   PATIENTS?
";00013
13;"WHAT NON-INVASIVE TESTS CAN BE PERFORMED FOR THE EVALUATION OF EXOCRINE
   PANCREATIC FUNCTION IN PATIENTS WITH CF?
";00014
14;"WHAT ARE THE HEPATIC COMPLICATIONS OR MANIFESTATIONS OF CF?
";00015
15;"WHAT ARE THE GASTROINTESTINAL COMPLICATIONS OF CF AFTER THE NEONATAL
   PERIOD (EXCLUDE LIVER DISEASE AND MECONIUM ILEUS)?
";00016
16;"WHAT IS THE MOST EFFECTIVE REGIMEN FOR THE USE OF PANCREATIC ENZYME
   SUPPLEMENTS IN THE TREATMENT OF CF PATIENTS?
";00017
17;"IS DIETARY SUPPLEMENTATION WITH BILE SALTS OF THERAPEUTIC BENEFIT TO CF
   PATIENTS?
";00018
18;"WHAT COMPLICATIONS OF PANCREATIC ENZYME THERAPY HAVE BEEN REPORTED IN
   CF PATIENTS?
";00019
19;"WHAT IS THE EFFECT OF TREATMENT OF CF PATIENTS WITH ESSENTIAL FATTY
   ACID SUPPLEMENTS?
";00020
20;"DOES PANCREATIC INSUFFICIENCY IN CF PATIENTS AFFECT THEIR ABILITY TO
   ABSORB OR METABOLIZE IRON?
";00021
21;"WHAT IS THE FREQUENCY OF CF IN NON-CAUCASIAN POPULATIONS?
";00022
22;"WHAT CONGENITAL OR HEREDITARY DISEASES OR CONDITIONS HAVE BEEN FOUND IN
   ASSOCIATION WITH CF?
";00023
23;"WHAT ARE THE CHARACTERISTICS OF PATIENTS IN WHOM CF IS INCOMPLETELY
   MANIFESTED?
";00024
24;"WHAT EVIDENCE IS THERE THAT THE GENETIC BASIS FOR CF INVOLVES MORE THAN
   ONE GENE?
";00025
25;"WHAT IS THE HETEROZYGOTE ADVANTAGE IN CF?
";00026
26;"WHAT IS THE CONCORDANCE OF CLINICAL OR BIOCHEMICAL MANIFESTATIONS OF CF
   IN SIBLING PAIRS (BOTH OF WHOM HAVE CF)?
";00027
27;"WHAT IS THE INCIDENCE OF MALE FERTILITY IN CF?
";00028
28;"WHAT IS THE PATHOLOGY OF THE REPRODUCTIVE SYSTEM (MALE OR FEMALE) IN
   CF?
";00029
29;"WHAT ARE THE RESULTS OF GENETIC COUNSELING OF FAMILIES OF CHILDREN WITH
   CF?
";00030
30;"WHAT ARE THE MAJOR PSYCHOLOGICAL OR SOCIAL EFFECTS OF CF ON PATIENTS
   AND THEIR FAMILIES?
";00031
31;"WHAT FACTORS INFLUENCE COMPLIANCE WITH PRESCRIBED THERAPY IN CF
   PATIENTS?
";00032
32;"WHAT CONDITIONS OR FACTORS LEAD TO ERRONEOUS SWEAT TESTS?
";00033
33;"WHAT ALTERNATIVE TECHNIQUES OTHER THAN THE CLASSICAL GIBSON-COOKE
   QUANTITATIVE PILOCARPINE IONTOPHORESIS TEST (WITH TITRIMETRIC ANALYSIS
   OF CHLORIDE) ARE AVAILABLE FOR SWEAT TESTING; WHAT ARE THEIR RELATIVE
   ADVANTAGES AND DISADVANTAGES?
";00034
34;"HAS ANY CF PATIENT BEEN FOUND TO HAVE CONSISTENTLY NORMAL SWEAT TESTS? 
";00035
35;"WHAT IS THE CONCENTRATION OF POTASSIUM IN SWEAT FROM CF PATIENTS?
";00036
36;"WHAT TECHNIQUES ARE AVAILABLE FOR SCREENING OF NEWBORN INFANTS FOR CF,
   AND WHAT FACTORS CONTRIBUTE TO ERRONEOUS RESULTS OF THESE TESTS?
";00037
37;"CAN CF BE DIAGNOSED PRENATALLY?
";00038
38;"HOW MAY HETEROZYGOTES FOR CF BE IDENTIFIED?
";00039
39;"OTHER THAN THE SWEAT TEST, WHAT TECHNIQUES MAY BE USEFUL (BEYOND THE
   NEONATAL PERIOD) FOR THE DIAGNOSIS OF CF?
";00040
40;"IS VITAMIN D METABOLISM NORMAL IN CF PATIENTS?
";00041
41;"WHAT ABNORMALITIES OF INSULIN SECRETION OR INSULIN METABOLISM OCCUR IN
   CF PATIENTS?
";00042
42;"IS SALT (SODIUM AND/OR CHLORIDE) TRANSPORT/PERMEABILITY ABNORMAL IN CF?
";00043
43;"WHAT STRUCTURAL OR ENZYMATIC DIFFERENCES ARE THERE BETWEEN FIBROBLASTS
   FROM CF PATIENTS AND NON-CF PATIENTS?
";00044
44;"WHAT ABNORMALITIES OF PROSTAGLANDIN METABOLISM HAVE BEEN DESCRIBED IN
   CF PATIENTS?
";00045
