QueryNumber;DocNumber;DocVotes
0;139;4
0;151;4
0;166;1
0;311;1
0;370;2
0;392;1
0;439;1
0;440;2
0;441;4
0;454;1
0;461;4
0;502;1
0;503;1
0;505;1
0;520;2
0;522;1
0;526;3
0;527;2
0;533;4
0;593;1
0;619;1
0;737;1
0;742;1
0;789;1
0;827;1
0;835;1
0;861;1
0;875;4
0;891;1
0;921;2
0;922;2
0;1175;1
0;1185;1
0;1222;1
1;169;1
1;434;2
1;454;1
1;498;1
1;499;1
1;592;1
1;875;3
2;23;1
2;40;1
2;139;4
2;190;1
2;221;1
2;246;1
2;309;1
2;311;2
2;325;1
2;345;1
2;347;1
2;356;1
2;370;2
2;374;1
2;375;4
2;439;1
2;440;3
2;454;3
2;515;1
2;520;1
2;524;1
2;526;2
2;527;3
2;533;1
2;535;1
2;560;1
2;561;1
2;571;1
2;584;1
2;604;1
2;623;1
2;633;4
2;733;1
2;742;2
2;854;1
2;856;4
2;950;1
2;967;1
2;1144;4
2;1161;1
2;1172;1
2;1175;1
2;1196;1
3;503;1
3;538;1
3;539;1
3;540;1
3;553;1
3;604;4
3;669;2
3;711;4
3;876;4
4;23;3
4;47;4
4;50;1
4;60;1
4;114;2
4;132;1
4;135;1
4;139;1
4;151;4
4;169;1
4;189;1
4;190;1
4;197;1
4;200;1
4;226;1
4;256;4
4;265;1
4;297;1
4;298;1
4;299;1
4;311;1
4;312;1
4;325;3
4;333;1
4;343;1
4;347;2
4;349;1
4;369;1
4;370;4
4;371;1
4;374;4
4;386;2
4;392;1
4;410;1
4;420;1
4;427;1
4;428;1
4;430;2
4;434;1
4;437;1
4;439;4
4;440;1
4;441;1
4;450;1
4;461;3
4;465;2
4;478;1
4;496;3
4;497;4
4;498;4
4;499;4
4;500;3
4;501;1
4;502;1
4;503;4
4;505;1
4;511;3
4;513;1
4;516;2
4;520;1
4;524;2
4;531;1
4;533;4
4;549;1
4;553;2
4;559;1
4;561;1
4;568;1
4;590;1
4;592;2
4;593;4
4;604;1
4;605;1
4;633;4
4;669;1
4;701;1
4;702;1
4;710;4
4;711;1
4;722;1
4;724;1
4;729;1
4;731;1
4;733;1
4;750;1
4;761;1
4;763;1
4;772;1
4;779;1
4;788;1
4;805;4
4;843;1
4;845;1
4;856;4
4;857;1
4;861;4
4;864;1
4;867;2
4;875;4
4;876;1
4;888;1
4;889;1
4;895;3
4;925;1
4;935;1
4;943;1
4;944;1
4;975;4
4;980;3
4;982;1
4;990;1
4;1000;1
