Word;Indices
SIGNIFIC;[1, 356, 356, 356, 356]
PSEUDOMONA;[1, 1, 1]
AERUGINOSA;[1, 1, 1]
INFECT;[1, 1, 1, 782]
RESPIRATORI;[1, 1, 1]
TRACT;[1, 1, 1]
CYSTIC;[1, 168, 168, 583, 782, 981]
FIBROSI;[1, 168, 168, 583, 782, 981]
PATIENT;[1, 1, 1, 1, 168, 168, 583, 583, 782, 782, 782, 981, 981]
STUDI;[1, 356, 782, 782, 981]
MEAN;[1, 356, 356, 356]
IMMUNOELECTROPHORET;[1]
ANALYSI;[1]
SERA;[1, 1]
NUMBER;[1, 1, 1]
PRECIPITIN;[1, 1, 1, 1, 1, 1]
CONCENTR;[1, 1, 1, 583, 981, 981, 981]
SERUM;[1, 1, 1, 356, 356, 356, 356]
PROTEIN;[1, 1, 1, 1]
ADDIT;[1, 782]
CLINIC;[1, 782]
RADIOGRAPH;[1]
STATU;[1]
LUNG;[1]
EVALU;[1]
USE;[1, 782, 782]
SCORE;[1]
SYSTEM;[1]
DEMONSTR;[1]
MAXIMUM;[1]
ONE;[1, 168, 782]
SIGNIFICANTLI;[1, 356]
CHANG;[1, 1, 356, 782, 782, 782]
COMPAR;[1]
MATCH;[1]
CONTROL;[1, 356, 356, 356, 981]
PERSON;[1, 981]
NOTABL;[1, 1]
IGG;[1]
IGA;[1]
ELEV;[1, 356, 981]
ACUT;[1, 1, 782, 782, 782]
PHASE;[1, 1]
LATTER;[1, 583]
SUGGEST;[1, 1]
ACTIV;[1, 356, 356, 356, 356, 356, 356]
TISSU;[1, 1, 1]
DAMAG;[1, 1]
HAPTOGLOBIN;[1]
CORREL;[1]
MANI;[1, 1]
ACCOMPANI;[1]
RESULT;[1, 356]
INDIC;[1]
PROTECT;[1]
VALU;[1, 356, 356]
GENER;[168]
HEREDITARI;[168]
DISORD;[168]
CHILDREN;[168, 356, 356, 782, 782, 782, 782, 782]
ADOLESC;[168]
YOUNG;[168]
ADULT;[168, 356]
WIDESPREAD;[168]
DYSFUNCT;[168]
MUCU;[168]
SECRET;[168]
GLAND;[168]
CONDIT;[168]
MAY;[168, 782]
CHARACTER;[168]
FOLLOW;[168]
CHRONIC;[168, 782, 782, 782]
PULMONARI;[168]
DISEAS;[168, 168, 782]
PANCREAT;[168, 583, 981]
ENZYM;[168, 583]
DEFICI;[168]
ABNORM;[168]
HIGH;[168]
SWEAT;[168, 583, 981, 981, 981]
ELECTROLYT;[168, 583]
HENC;[168]
TREAT;[168]
INDIVIDU;[168]
BASI;[168]
PARENT;[168]
TIE;[168]
RIGID;[168]
REGIM;[168]
IMPOS;[168]
MUST;[168]
HELP;[168, 168, 168]
VOLUNT;[168]
NEED;[168, 168]
SUPPORT;[168]
ASSIST;[168]
