QueryText;QueryNumber
['EFFECT', 'CALCIUM', 'PHYSIC', 'PROPERTI', 'MUCU', 'PATIENT'];00001
['ONE', 'DISTINGUISH', 'EFFECT', 'MUCU', 'HYPERSECRET', 'INFECT', 'SUBMUCOS', 'GLAND', 'RESPIRATORI', 'TRACT'];00002
['SALIVARI', 'GLYCOPROTEIN', 'PATIENT', 'DIFFER', 'NORMAL', 'SUBJECT'];00003
['LIPID', 'COMPOSIT', 'RESPIRATORI', 'SECRET'];00004
['MUCU', 'ABNORM'];00005
['EFFECT', 'WATER', 'THERAPEUT', 'AGENT', 'PHYSIC', 'PROPERTI', 'VISCOS', 'ELAST', 'SPUTUM', 'BRONCHIAL', 'SECRET', 'PATIENT'];00006
['MUCU', 'GLYCOPROTEIN', 'DEGRAD', 'DIFFER', 'PATIENT', 'COMPAR', 'NORMAL', 'SUBJECT'];00007
['HISTOCHEM', 'DIFFER', 'DESCRIB', 'NORMAL', 'RESPIRATORI', 'EPITHELIA'];00008
['ASSOCI', 'LIVER', 'DISEAS', 'CIRRHOSI', 'VITAMIN', 'METABOL'];00009
['ROLE', 'VITAMIN', 'THERAPI', 'PATIENT'];00010
['DIFFER', 'MECONIUM', 'ILEU', 'MECONIUM', 'PLUG', 'SYNDROM'];00011
['ABNORM', 'AMINO', 'ACID', 'TRANSPORT', 'DESCRIB', 'SMALL', 'BOWEL', 'PATIENT'];00012
['CLINIC', 'BIOCHEM', 'FEATUR', 'PANCREAT', 'PATIENT'];00013
['NON', 'INVAS', 'TEST', 'PERFORM', 'EVALU', 'EXOCRIN', 'PANCREAT', 'FUNCTION', 'PATIENT'];00014
['HEPAT', 'COMPLIC', 'MANIFEST'];00015
['GASTROINTESTIN', 'COMPLIC', 'NEONAT', 'PERIOD', 'EXCLUD', 'LIVER', 'DISEAS', 'MECONIUM', 'ILEU'];00016
['EFFECT', 'REGIMEN', 'USE', 'PANCREAT', 'ENZYM', 'SUPPLEMENT', 'TREATMENT', 'PATIENT'];00017
['DIETARI', 'SUPPLEMENT', 'BILE', 'SALT', 'THERAPEUT', 'BENEFIT', 'PATIENT'];00018
['COMPLIC', 'PANCREAT', 'ENZYM', 'THERAPI', 'REPORT', 'PATIENT'];00019
['EFFECT', 'TREATMENT', 'PATIENT', 'ESSENTI', 'FATTI', 'ACID', 'SUPPLEMENT'];00020
['PANCREAT', 'INSUFFICI', 'PATIENT', 'AFFECT', 'ABIL', 'ABSORB', 'METABOL', 'IRON'];00021
['FREQUENC', 'NON', 'CAUCASIAN', 'POPUL'];00022
['CONGENIT', 'HEREDITARI', 'DISEAS', 'CONDIT', 'FOUND', 'ASSOCI'];00023
['CHARACTERIST', 'PATIENT', 'INCOMPLET', 'MANIFEST'];00024
['EVID', 'GENET', 'BASI', 'INVOLV', 'ONE', 'GENE'];00025
['HETEROZYGOT', 'ADVANTAG'];00026
['CONCORD', 'CLINIC', 'BIOCHEM', 'MANIFEST', 'SIBL', 'PAIR'];00027
['INCID', 'MALE', 'FERTIL'];00028
['PATHOLOG', 'REPRODUCT', 'SYSTEM', 'MALE', 'FEMAL'];00029
['RESULT', 'GENET', 'COUNSEL', 'FAMILI', 'CHILDREN'];00030
['MAJOR', 'PSYCHOLOG', 'SOCIAL', 'EFFECT', 'PATIENT', 'FAMILI'];00031
['FACTOR', 'INFLUENC', 'COMPLIANC', 'PRESCRIB', 'THERAPI', 'PATIENT'];00032
['CONDIT', 'FACTOR', 'LEAD', 'ERRON', 'SWEAT', 'TEST'];00033
['ALTERN', 'TECHNIQU', 'CLASSIC', 'GIBSON', 'COOK', 'QUANTIT', 'PILOCARPIN', 'IONTOPHORESI', 'TEST', 'TITRIMETR', 'ANALYSI', 'CHLORID', 'AVAIL', 'SWEAT', 'TEST', 'REL', 'ADVANTAG', 'DISADVANTAG'];00034
['PATIENT', 'FOUND', 'CONSIST', 'NORMAL', 'SWEAT', 'TEST'];00035
['CONCENTR', 'POTASSIUM', 'SWEAT', 'PATIENT'];00036
['TECHNIQU', 'AVAIL', 'SCREEN', 'NEWBORN', 'INFANT', 'FACTOR', 'CONTRIBUT', 'ERRON', 'RESULT', 'TEST'];00037
['DIAGNOS', 'PRENAT'];00038
['MAY', 'HETEROZYGOT', 'IDENTIFI'];00039
['SWEAT', 'TEST', 'TECHNIQU', 'MAY', 'USE', 'BEYOND', 'NEONAT', 'PERIOD', 'DIAGNOSI'];00040
['VITAMIN', 'METABOL', 'NORMAL', 'PATIENT'];00041
['ABNORM', 'INSULIN', 'SECRET', 'INSULIN', 'METABOL', 'OCCUR', 'PATIENT'];00042
['SALT', 'SODIUM', 'CHLORID', 'TRANSPORT', 'PERMEABL', 'ABNORM'];00043
['STRUCTUR', 'ENZYMAT', 'DIFFER', 'FIBROBLAST', 'PATIENT', 'NON', 'PATIENT'];00044
['ABNORM', 'PROSTAGLANDIN', 'METABOL', 'DESCRIB', 'PATIENT'];00045
['PROPERTI', 'ACTIV', 'GALACTOSYLTRANSFERAS', 'ENZYM', 'PATIENT'];00046
['DIFFER', 'NORMAL', 'SUBJECT', 'PATIENT', 'DESCRIB', 'FUNCTION', 'METABOL', 'HORMON'];00047
['FIBROBLAST', 'PATIENT', 'GROW', 'NORMAL', 'RATE'];00048
['RNA', 'METHYL', 'POLYAMIN', 'METABOL', 'NORMAL', 'PATIENT'];00049
['DEFECT', 'SYNTHESI', 'METABOL', 'CYCLIC', 'NUCLEOTID', 'DESCRIB', 'PATIENT'];00050
